{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_dist
Episode:  107 controlled agent:  1 ; Episode Return:  -1275.4528855298877 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 41
Episode:  108 controlled agent:  1 ; Episode Return:  -1389.8326112068553 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 42
Episode:  109 controlled agent:  1 ; Episode Return:  -1025.0975464705598 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 42
Episode:  110 controlled agent:  1 ; Episode Return:  -1336.1341263970203 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 43
Episode:  111 controlled agent:  1 ; Episode Return:  -1340.8498551495582 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 43
Episode:  112 controlled agent:  1 ; Episode Return:  -1168.9209229614235 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 43
Episode:  113 controlled agent:  1 ; Episode Return:  -922.3086578651016 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 43
Episode:  114 controlled agent:  1 ; Episode Return:  -1150.8549057834407 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 44
Episode:  115 controlled agent:  1 ; Episode Return:  -1022.0365799264595 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 44
Episode:  116 controlled agent:  1 ; Episode Return:  -1241.7249634685295 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 45
Episode:  117 controlled agent:  1 ; Episode Return:  -1350.7493500861697 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 45
Episode:  118 controlled agent:  1 ; Episode Return:  -1073.1909088590105 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 45
Episode:  119 controlled agent:  1 ; Episode Return:  -1407.9331162702438 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 46
Episode:  120 controlled agent:  1 ; Episode Return:  -961.9604614807115 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 46
Episode:  121 controlled agent:  1 ; Episode Return:  -1012.5411972844556 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 47
Episode:  122 controlled agent:  1 ; Episode Return:  -1328.6488450227816 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 48
Episode:  123 controlled agent:  1 ; Episode Return:  -1071.9015869776658 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 48
Episode:  124 controlled agent:  1 ; Episode Return:  -1220.683332908187 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 49
Episode:  125 controlled agent:  1 ; Episode Return:  -1291.8498551495582 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 50
Episode:  126 controlled agent:  1 ; Episode Return:  -1331.7909806465127 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 50
Episode:  127 controlled agent:  1 ; Episode Return:  -1120.5411972844558 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 51
Episode:  128 controlled agent:  1 ; Episode Return:  -1010.823376490863 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 52
Episode:  129 controlled agent:  1 ; Episode Return:  -1320.8498551495582 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 53
Episode:  130 controlled agent:  1 ; Episode Return:  -1338.1980515339483 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 53
Episode:  131 controlled agent:  1 ; Episode Return:  -988.5168106668154 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 54
Episode:  132 controlled agent:  1 ; Episode Return:  -1267.3107499061566 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 55
Episode:  133 controlled agent:  1 ; Episode Return:  -1395.9747468305864 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 56
Episode:  134 controlled agent:  1 ; Episode Return:  -1360.6488450227816 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 56
Episode:  135 controlled agent:  1 ; Episode Return:  -1335.369624409202 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 57
Episode:  136 controlled agent:  1 ; Episode Return:  -1424.3889603929597 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 57
Episode:  137 controlled agent:  1 ; Episode Return:  -1351.5777772109159 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 57
Episode:  138 controlled agent:  1 ; Episode Return:  -935.43354954613 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 57
Episode:  139 controlled agent:  1 ; Episode Return:  -1060.1370849898476 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 58
Episode:  140 controlled agent:  1 ; Episode Return:  -933.1787155501906 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 59
Episode:  141 controlled agent:  1 ; Episode Return:  -1012.2985565973363 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 60
Episode:  142 controlled agent:  1 ; Episode Return:  -1069.3574311003817 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 61
Episode:  143 controlled agent:  1 ; Episode Return:  -1329.0924958366772 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 62
Episode:  144 controlled agent:  1 ; Episode Return:  -1167.9137802864861 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 62
Episode:  145 controlled agent:  1 ; Episode Return:  -1244.9970414071718 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 63
Episode:  146 controlled agent:  1 ; Episode Return:  -1198.4528855298877 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 63
