{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_hit_wall'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_hit_wall
Episode:  137 controlled agent:  1 ; Episode Return:  -1051.1269837220825 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 78
Episode:  138 controlled agent:  1 ; Episode Return:  -1441.8326112068553 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 79
Episode:  139 controlled agent:  1 ; Episode Return:  -1257.163563648543 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 79
Episode:  140 controlled agent:  1 ; Episode Return:  -1331.8498551495582 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 80
Episode:  141 controlled agent:  1 ; Episode Return:  -922.6223663640865 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 80
Episode:  142 controlled agent:  1 ; Episode Return:  -1406.6904755831242 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 81
Episode:  143 controlled agent:  1 ; Episode Return:  -1209.7371567773498 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 81
Episode:  144 controlled agent:  1 ; Episode Return:  -1360.9970414071718 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 82
Episode:  145 controlled agent:  1 ; Episode Return:  -1249.8498551495582 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 82
Episode:  146 controlled agent:  1 ; Episode Return:  -1141.925973595306 ; win rate(controlled & opponent):  0.54 0.46 ; Trained episode: 82
Episode:  147 controlled agent:  1 ; Episode Return:  -1086.9137802864861 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 82
Episode:  148 controlled agent:  1 ; Episode Return:  -1449.2884553295712 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 82
Episode:  149 controlled agent:  1 ; Episode Return:  -1158.9554108468287 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 82
Episode:  150 controlled agent:  1 ; Episode Return:  -1225.719912834647 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 83
Episode:  151 controlled agent:  1 ; Episode Return:  -1445.9747468305864 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 84
Episode:  152 controlled agent:  1 ; Episode Return:  -1378.369624409202 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 84
Episode:  153 controlled agent:  1 ; Episode Return:  -1203.5828278447984 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 85
Episode:  154 controlled agent:  1 ; Episode Return:  -413.62741699796953 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 85
Episode:  155 controlled agent:  1 ; Episode Return:  -1139.9087296526036 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 86
Episode:  156 controlled agent:  1 ; Episode Return:  -1442.7026688919445 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 87
Episode:  157 controlled agent:  1 ; Episode Return:  -1203.3401871576793 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 87
Episode:  158 controlled agent:  1 ; Episode Return:  -1073.391918985787 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 87
Episode:  159 controlled agent:  1 ; Episode Return:  -1261.862048458378 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 88
Episode:  160 controlled agent:  1 ; Episode Return:  -369.4558441227157 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 88
Episode:  161 controlled agent:  1 ; Episode Return:  -932.1370849898478 ; win rate(controlled & opponent):  0.54 0.46 ; Trained episode: 89
Episode:  162 controlled agent:  1 ; Episode Return:  -1237.8670990922606 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 90
Episode:  163 controlled agent:  1 ; Episode Return:  -1206.3229432149765 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 90
Episode:  164 controlled agent:  1 ; Episode Return:  -1134.3229432149765 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 90
Episode:  165 controlled agent:  1 ; Episode Return:  -1204.4406922210674 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 90
Episode:  166 controlled agent:  1 ; Episode Return:  -1373.862048458378 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 90
Episode:  167 controlled agent:  1 ; Episode Return:  -945.7350647362948 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 91
Episode:  168 controlled agent:  1 ; Episode Return:  -1416.565583902096 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 92
Episode:  169 controlled agent:  1 ; Episode Return:  -949.7594513539348 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 92
Episode:  170 controlled agent:  1 ; Episode Return:  -1115.3107499061566 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 93
Episode:  171 controlled agent:  1 ; Episode Return:  -1093.6417023478439 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 93
Episode:  172 controlled agent:  1 ; Episode Return:  -1247.7787873376924 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 93
Episode:  173 controlled agent:  1 ; Episode Return:  -1194.9087296526036 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 94
Episode:  174 controlled agent:  1 ; Episode Return:  -1261.5533905932757 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 94
Episode:  175 controlled agent:  1 ; Episode Return:  -1186.5361466505733 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 94
Episode:  176 controlled agent:  1 ; Episode Return:  -968.6173157302039 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 94
Episode:  177 controlled agent:  1 ; Episode Return:  -1287.5117600329331 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 95
Episode:  178 controlled agent:  1 ; Episode Return:  -1060.1269837220825 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 96
Episode:  179 controlled agent:  1 ; Episode Return:  -1211.10973977938 ; win rate(controlled & opponent):  0.51 0.49 ; Trained episode: 97
Episode:  180 controlled agent:  1 ; Episode Return:  -1055.8650070512058 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 98
Episode:  181 controlled agent:  1 ; Episode Return:  -948.8233764908628 ; win rate(controlled & opponent):  0.52 0.48 ; Trained episode: 99
