{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  68 controlled agent:  1 ; Episode Return:  -372.5391052434008 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 27
Episode:  69 controlled agent:  1 ; Episode Return:  -433.7350647362945 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 27
Episode:  70 controlled agent:  1 ; Episode Return:  -774.7766952966373 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 27
Episode:  71 controlled agent:  1 ; Episode Return:  -58.941125496954264 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 27
Episode:  72 controlled agent:  1 ; Episode Return:  -51.11269837220806 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 28
Episode:  73 controlled agent:  1 ; Episode Return:  -863.5533905932756 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 29
Episode:  74 controlled agent:  1 ; Episode Return:  -115.79898987322329 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 29
Episode:  75 controlled agent:  1 ; Episode Return:  -387.556349186104 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 30
Episode:  76 controlled agent:  1 ; Episode Return:  -909.2670273047586 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 31
Episode:  77 controlled agent:  1 ; Episode Return:  -612.7594513539347 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 32
